2026-04-10 18:08:16 | http://malicious.com | malicious | matched blocked domain
2026-04-16 19:27:22 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:27:23 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:27:24 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:27:51 | http://google-security-login | suspicious | brand + phishing keywords on non-official domain
2026-04-16 19:27:54 | http://google-security-login | suspicious | brand + phishing keywords on non-official domain
2026-04-16 19:27:54 | http://google-security-login | suspicious | brand + phishing keywords on non-official domain
2026-04-16 19:52:27 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:52:59 | https://www.wikipedia.org | safe | no suspicious pattern found
2026-04-16 19:53:29 | https:/openai.com | safe | no suspicious pattern found
2026-04-16 19:53:50 | https:/github.com | safe | no suspicious pattern found
2026-04-16 19:54:02 | https:github.com | safe | no suspicious pattern found
2026-04-16 19:54:34 | https://hithub.com | safe | no suspicious pattern found
2026-04-16 19:55:26 | https://bit.ly/tes123 | suspicious | uses URL shortener
2026-04-16 19:56:02 | http://tinyurl.com/demo | suspicious | uses URL shortener
2026-04-16 19:56:42 | http://google.com@evil.com | suspicious | contains @ symbol
2026-04-16 19:57:23 | http://a.b.cd.example.com | suspicious | too many subdomains
2026-04-16 19:57:52 | http://google-login-security.com | suspicious | brand + phishing keywords on non-official domain
2026-04-16 19:58:30 | http://login.malicious.com | malicious | matched blocked domain
2026-04-16 19:59:09 | http://random-malware-test-domain.xyz | safe | no suspicious pattern found
2026-04-16 20:32:20 | http://secure-paypal-login-update.com | suspicious | brand + phishing keywords on non-official domain
2026-04-16 22:13:18.116389 | http://google.com@evil.com | suspicious | contains @ symbol
2026-04-16 22:13:37.508114 | http://google.com@evil.com | suspicious | contains @ symbol
2026-04-16 22:13:38.304837 | http://google.com@evil.com | suspicious | contains @ symbol
2026-04-16 22:18:53.818125 | http://google.com@evil.com | suspicious | contains @ symbol
2026-04-16 22:30:30.142247 | http://google.com@evil.com | suspicious | contains @ symbol
2026-04-16 22:35:13.724145 | http://google.com@evil.com | suspicious | contains @ symbol
2026-04-23 11:58:40.858213 | http://google.com | safe | submitted to VirusTotal
2026-04-23 11:59:13.329178 | https://openai.com | safe | submitted to VirusTotal
2026-04-23 12:00:07.705763 | https://github.com | safe | submitted to VirusTotal
2026-04-23 12:00:59.294240 | http://google.com@evil.com | suspicious | contains @ symbol
2026-04-23 12:07:33.305748 | https://google.com | safe | 0 vendors flagged
2026-04-23 12:08:14.406283 | https://google.com@evil.com | suspicious | contains @ symbol
2026-04-23 19:30:47.686643 | https://google.com | safe | 0 vendors flagged
2026-04-23 19:31:17.378834 | https://google.com | safe | 0 vendors flagged
2026-04-23 19:31:58.222000 | https://google.com@evil.com | suspicious | contains @ symbol
2026-04-23 19:32:25.285621 | https://malicious.com | malicious | matched blocked domain
2026-04-23 19:33:58.526484 | http://paypal-secure-login-update.net | suspicious | phishing-style domain
2026-04-23 19:48:06.231807 | https://google.com | safe | 0 vendors flagged
2026-04-23 20:17:08.484492 | https://google.com | safe | 0 vendors flagged
2026-04-23 20:37:10.681525 | https://google.com | safe | 0 vendors flagged
2026-04-23 20:37:36.527705 | https://google.com@evil.com | suspicious | contains @ symbol
2026-04-23 20:37:55.835103 | https://malicious.com | malicious | matched blocked domain
2026-04-24 22:18:26.428486 | http://safe-bank-login.top | suspicious | uses suspicious top-level domain
2026-04-24 22:19:53.126209 | http://xn--paypal-abc.com | suspicious | contains punycode / lookalike domain
2026-04-24 22:21:45.677558 | http://secure-update-login.xyz | suspicious | uses suspicious top-level domain
2026-04-24 22:24:54.404126 | http://safe-bank-login.top | suspicious | uses suspicious top-level domain
2026-04-24 22:26:36.108647 | http://xn--paypal-abc.com | suspicious | contains punycode / lookalike domain
2026-04-24 22:27:49.044848 | http://secure-update-login.xyz | suspicious | uses suspicious top-level domain
2026-04-24 22:30:24.299891 | http://example.xyz | suspicious | uses suspicious top-level domain
2026-04-24 22:30:47.021550 | https://example.xyz | suspicious | uses suspicious top-level domain
2026-04-24 22:30:50.742136 | https://example.xyz | suspicious | uses suspicious top-level domain
2026-04-24 22:31:14.573284 | https://secure.google.com | safe | 0 vendors flagged
2026-04-24 22:31:58.907358 | https://accounts.google.com | safe | 0 vendors flagged
2026-04-24 22:32:37.513260 | https://microsoft.com/account | safe | no suspicious pattern found
2026-04-24 22:37:56.287568 | https://microsoft.com/account | safe | no suspicious pattern found
2026-04-24 23:15:19.314014 | https://google.com@evil.com | suspicious | contains @ symbol
2026-04-24 23:21:44.927651 | https://microsoft.com/account | safe | no suspicious pattern found
2026-04-24 23:22:35.105826 | https://google.com | safe | 0 vendors flagged
2026-04-30 19:54:18.321082 | https://microsoft.com/account | safe | no suspicious pattern found
2026-04-30 19:56:54.010293 | https://google.com | safe | 0 vendors flagged this URL
2026-04-30 22:11:35.002840 | https://google.com@evil.com | suspicious | contains @ symbol
2026-04-30 22:12:17.120825 | https://google-login-secuirty | suspicious | contains phishing-style trust wording
2026-04-30 22:13:12.497852 | https://google.xyz | suspicious | uses suspicious top-level domain
2026-05-05 20:06:31.330471 | http://paypal-security-alert.xyz | suspicious | uses suspicious top-level domain
2026-05-09 21:15:17.138894 | https://www.wicar.org/test-malware.html | safe | 0 vendors flagged this URL
2026-05-09 21:16:27.795029 | https://www.amtso.org/check-desktop-phishing-page/ | safe | 0 vendors flagged this URL
2026-05-09 21:17:32.721453 | https://www.eicar.org/download/eicar-com/ | safe | 0 vendors flagged this URL
2026-05-09 21:18:01.532413 | https://google.com@evil.com | suspicious | contains @ symbol
2026-05-09 21:19:02.367348 | https://google-security-login.com | suspicious | phishing-style domain
2026-05-09 21:19:52.568213 | https://192.168.2.102 | suspicious | uses raw IP address
2026-05-14 12:48:39.836974 | chrome installer | safe | no suspicious pattern found
2026-05-21 23:35:31.349655 | https://google.com@evil.com | suspicious | contains @ symbol
2026-07-27 12:22:53.311988 | http://testsafebrowsing.appspot.com/s/phishing.html | safe | 0 vendors flagged this URL
2026-07-27 12:23:35.663646 | http://malware.testing.google.test/testing/malware/ | suspicious | too many subdomains
2026-07-27 12:24:14.413826 | http://testsafebrowsing.appspot.com/s/phishing.html | malicious | 15 vendors flagged this URL
2026-07-27 12:25:26.413461 | http://testsafebrowsing.appspot.com/s/phishing.html | malicious | 15 vendors flagged this URL
2026-07-27 12:25:51.413036 | http://malware.testing.google.test/testing/malware/ | suspicious | too many subdomains
2026-08-04 21:23:28.375164 | https://www.google.com | safe | 0 vendors flagged this URL
2026-08-04 21:23:57.646557 | https://github.com | safe | 0 vendors flagged this URL
2026-08-04 21:24:19.351983 | https://www.microsoft.com | safe | 0 vendors flagged this URL
2026-08-04 21:24:49.766468 | https://ubuntu.com | safe | 0 vendors flagged this URL
2026-08-04 21:25:19.971846 | https://www.virustotal.com | safe | no suspicious pattern found
2026-08-04 21:25:50.023178 | http://paypal-login-security-update.xyz | suspicious | uses suspicious top-level domain
2026-08-04 21:26:47.478772 | http://192.168.1.10/login | suspicious | uses raw IP address
2026-08-04 21:27:10.646317 | http://bit.ly/example | suspicious | uses URL shortener
2026-08-04 21:27:50.458743 | http://verify-account-secure-login.top | suspicious | uses suspicious top-level domain
2026-08-04 21:28:25.532568 | http://login.microsoft.verify-account.click | suspicious | uses suspicious top-level domain
2026-08-08 00:28:50.300326 | https://www.google.com | safe | 0 vendors flagged this URL
2026-08-08 00:29:22.507226 | www.google.com@evil.org | suspicious | contains @ symbol
